,Unnamed: 0,Unnamed: 0.1,symboling,normalized-losses,make,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,city-L/100km,highway-L/100km,horsepower-binned,diesel,gas,aspiration-std,aspiration-turbo
0,0,0,3,122,0,2,0,2,0,88.6,0.8111484863046613,0.8902777777777777,0.8160535117056856,2548,0,4,130,5,3.47,2.68,9.0,111,5000.0,21,27,13495.0,11.190476190476188,8.703703703703704,1,0,1,1,0
1,1,1,3,122,0,2,0,2,0,88.6,0.8111484863046613,0.8902777777777777,0.8160535117056856,2548,0,4,130,5,3.47,2.68,9.0,111,5000.0,21,27,16500.0,11.190476190476188,8.703703703703704,1,0,1,1,0
2,2,2,1,122,0,2,2,2,0,94.5,0.8226814031715521,0.9097222222222222,0.8762541806020067,2823,4,6,152,5,2.68,3.47,9.0,154,5000.0,19,26,16500.0,12.36842105263158,9.038461538461537,2,0,1,1,0
3,3,3,2,164,1,4,3,1,0,99.8,0.8486304661220567,0.9194444444444444,0.9080267558528428,2337,2,4,109,5,3.19,3.4,10.0,102,5500.0,24,30,13950.0,9.791666666666666,7.833333333333332,1,0,1,1,0
4,4,4,2,164,1,4,3,0,0,99.4,0.8486304661220567,0.9222222222222224,0.9080267558528428,2824,2,5,136,5,3.19,3.4,8.0,115,5500.0,18,22,17450.0,13.055555555555555,10.681818181818182,1,0,1,1,0
5,5,5,2,122,1,2,3,1,0,99.8,0.8519942335415667,0.9208333333333332,0.8879598662207359,2507,2,5,136,5,3.19,3.4,8.5,110,5500.0,19,25,15250.0,12.36842105263158,9.4,1,0,1,1,0
6,6,6,1,158,1,4,3,1,0,105.8,0.9259971167707832,0.9916666666666668,0.9314381270903008,2844,2,5,136,5,3.19,3.4,8.5,110,5500.0,19,25,17710.0,12.36842105263158,9.4,1,0,1,1,0
7,7,7,1,122,1,4,4,1,0,105.8,0.9259971167707832,0.9916666666666668,0.9314381270903008,2954,2,5,136,5,3.19,3.4,8.5,110,5500.0,19,25,18920.0,12.36842105263158,9.4,1,0,1,1,0
8,8,8,1,158,1,4,3,1,0,105.8,0.9259971167707832,0.9916666666666668,0.9347826086956522,3086,2,5,131,5,3.13,3.4,8.3,140,5500.0,17,20,23875.0,13.823529411764708,11.75,2,0,1,0,1
9,9,9,2,192,2,2,3,2,0,101.2,0.8495915425276309,0.8999999999999999,0.9080267558528428,2395,2,4,108,5,3.5,2.8,8.8,101,5800.0,23,29,16430.0,10.217391304347826,8.103448275862071,1,0,1,1,0
10,10,10,0,192,2,4,3,2,0,101.2,0.8495915425276309,0.8999999999999999,0.9080267558528428,2395,2,4,108,5,3.5,2.8,8.8,101,5800.0,23,29,16925.0,10.217391304347826,8.103448275862071,1,0,1,1,0
11,11,11,0,188,2,2,3,2,0,101.2,0.8495915425276309,0.8999999999999999,0.9080267558528428,2710,2,6,164,5,3.31,3.19,9.0,121,4250.0,21,28,20970.0,11.190476190476188,8.392857142857142,2,0,1,1,0
12,12,12,0,188,2,4,3,2,0,101.2,0.8495915425276309,0.8999999999999999,0.9080267558528428,2765,2,6,164,5,3.31,3.19,9.0,121,4250.0,21,28,21105.0,11.190476190476188,8.392857142857142,2,0,1,1,0
13,13,13,1,122,2,4,3,2,0,103.5,0.9082172032676598,0.9291666666666668,0.9314381270903008,3055,2,6,164,5,3.31,3.19,9.0,121,4250.0,20,25,24565.0,11.75,9.4,2,0,1,1,0
14,14,14,0,122,2,4,3,2,0,103.5,0.9082172032676598,0.9291666666666668,0.9314381270903008,3230,2,6,209,5,3.62,3.39,8.0,182,5400.0,16,22,30760.0,14.6875,10.681818181818182,2,0,1,1,0
15,15,15,0,122,2,2,3,2,0,103.5,0.9312830370014415,0.9430555555555556,0.8979933110367894,3380,2,6,209,5,3.62,3.39,8.0,182,5400.0,16,22,41315.0,14.6875,10.681818181818182,2,0,1,1,0
16,16,16,0,122,2,4,3,2,0,110.0,0.9466602594906296,0.9847222222222224,0.9414715719063546,3505,2,6,209,5,3.62,3.39,8.0,182,5400.0,15,20,36880.0,15.666666666666664,11.75,2,0,1,1,0
17,17,17,2,121,3,2,2,1,0,88.4,0.6780394041326285,0.8374999999999999,0.8896321070234114,1488,1,3,61,1,2.91,3.03,9.5,48,5100.0,47,53,5151.0,5.0,4.433962264150943,1,0,1,1,0
18,18,18,1,98,3,2,2,1,0,94.5,0.7491590581451226,0.8833333333333333,0.8695652173913044,1874,2,4,90,1,3.03,3.11,9.6,70,5400.0,38,43,6295.0,6.184210526315789,5.465116279069767,1,0,1,1,0
19,19,19,0,81,3,4,3,1,0,94.5,0.7630946660259491,0.8833333333333333,0.8695652173913044,1909,2,4,90,1,3.03,3.11,9.6,70,5400.0,38,43,6575.0,6.184210526315789,5.465116279069767,1,0,1,1,0
20,20,20,1,118,4,2,2,1,0,93.7,0.7558865929841423,0.8861111111111111,0.8494983277591973,1876,2,4,90,1,2.97,3.23,9.41,68,5500.0,37,41,5572.0,6.351351351351353,5.7317073170731705,1,0,1,1,0
21,21,21,1,118,4,2,2,1,0,93.7,0.7558865929841423,0.8861111111111111,0.8494983277591973,1876,2,4,90,1,2.97,3.23,9.4,68,5500.0,31,38,6377.0,7.580645161290323,6.184210526315789,1,0,1,1,0
22,22,22,1,118,4,2,2,1,0,93.7,0.7558865929841423,0.8861111111111111,0.8494983277591973,2128,2,4,98,5,3.03,3.39,7.6,102,5500.0,24,30,7957.0,9.791666666666666,7.833333333333332,1,0,1,0,1
23,23,23,1,148,4,4,2,1,0,93.7,0.7558865929841423,0.8861111111111111,0.8461538461538463,1967,2,4,90,1,2.97,3.23,9.4,68,5500.0,31,38,6229.0,7.580645161290323,6.184210526315789,1,0,1,1,0
24,24,24,1,148,4,4,3,1,0,93.7,0.7558865929841423,0.8861111111111111,0.8461538461538463,1989,2,4,90,1,2.97,3.23,9.4,68,5500.0,31,38,6692.0,7.580645161290323,6.184210526315789,1,0,1,1,0
25,25,25,1,148,4,4,3,1,0,93.7,0.7558865929841423,0.8861111111111111,0.8461538461538463,1989,2,4,90,1,2.97,3.23,9.4,68,5500.0,31,38,7609.0,7.580645161290323,6.184210526315789,1,0,1,1,0
26,26,26,1,148,4,4,3,1,0,93.7,0.7558865929841423,0.8861111111111111,0.8461538461538463,2191,2,4,98,5,3.03,3.39,7.6,102,5500.0,24,30,8558.0,9.791666666666666,7.833333333333332,1,0,1,0,1
27,27,27,-1,110,4,4,4,1,0,103.3,0.8390197020663143,0.8972222222222221,1.0,2535,2,4,122,1,3.34,3.46,8.5,88,5000.0,24,30,8921.0,9.791666666666666,7.833333333333332,1,0,1,1,0
28,28,28,3,145,4,2,2,1,0,95.9,0.8322921672272945,0.9208333333333332,0.8394648829431439,2811,2,4,156,4,3.6,3.9,7.0,145,5000.0,19,24,12964.0,12.36842105263158,9.791666666666666,2,0,1,0,1
29,29,29,2,137,5,2,2,1,0,86.6,0.6948582412301778,0.8875,0.8494983277591973,1713,2,4,92,0,2.91,3.41,9.6,58,4800.0,49,54,6479.0,4.795918367346938,4.351851851851852,1,0,1,1,0
30,30,30,2,137,5,2,2,1,0,86.6,0.6948582412301778,0.8875,0.8494983277591973,1819,2,4,92,0,2.91,3.41,9.2,76,6000.0,31,38,6855.0,7.580645161290323,6.184210526315789,1,0,1,1,0
31,31,31,1,101,5,2,2,1,0,93.7,0.7208073041806824,0.8888888888888888,0.8795986622073579,1837,2,4,79,0,2.91,3.07,10.1,60,5500.0,38,42,5399.0,6.184210526315789,5.595238095238094,1,0,1,1,0
32,32,32,1,101,5,2,2,1,0,93.7,0.7208073041806824,0.8888888888888888,0.8795986622073579,1940,2,4,92,0,2.91,3.41,9.2,76,6000.0,30,34,6529.0,7.833333333333332,6.911764705882352,1,0,1,1,0
33,33,33,1,101,5,2,2,1,0,93.7,0.7208073041806824,0.8888888888888888,0.8795986622073579,1956,2,4,92,0,2.91,3.41,9.2,76,6000.0,30,34,7129.0,7.833333333333332,6.911764705882352,1,0,1,1,0
34,34,34,0,110,5,4,3,1,0,96.5,0.7851994233541567,0.8888888888888888,0.911371237458194,2010,2,4,92,0,2.91,3.41,9.2,76,6000.0,30,34,7295.0,7.833333333333332,6.911764705882352,1,0,1,1,0
35,35,35,0,78,5,4,4,1,0,96.5,0.7549255165785679,0.8875,0.9749163879598662,2024,2,4,92,0,2.92,3.41,9.2,76,6000.0,30,34,7295.0,7.833333333333332,6.911764705882352,1,0,1,1,0
36,36,36,0,106,5,2,2,1,0,96.5,0.8049014896684287,0.9055555555555556,0.8913043478260869,2236,2,4,110,0,3.15,3.58,9.0,86,5800.0,27,33,7895.0,8.703703703703704,7.121212121212121,1,0,1,1,0
37,37,37,0,106,5,2,2,1,0,96.5,0.8049014896684287,0.9055555555555556,0.8913043478260869,2289,2,4,110,0,3.15,3.58,9.0,86,5800.0,27,33,9095.0,8.703703703703704,7.121212121212121,1,0,1,1,0
38,38,38,0,85,5,4,3,1,0,96.5,0.8428640076886112,0.9055555555555556,0.9046822742474916,2304,2,4,110,0,3.15,3.58,9.0,86,5800.0,27,33,8845.0,8.703703703703704,7.121212121212121,1,0,1,1,0
39,39,39,0,85,5,4,3,1,0,96.5,0.8428640076886112,0.8680555555555556,0.9046822742474916,2372,2,4,110,0,3.15,3.58,9.0,86,5800.0,27,33,10295.0,8.703703703703704,7.121212121212121,1,0,1,1,0
40,40,40,0,85,5,4,3,1,0,96.5,0.8428640076886112,0.9055555555555556,0.9046822742474916,2465,2,4,110,5,3.15,3.58,9.0,101,5800.0,24,28,12945.0,9.791666666666666,8.392857142857142,1,0,1,1,0
41,41,41,1,107,5,2,3,1,0,96.5,0.8125901009130225,0.9166666666666666,0.8528428093645485,2293,2,4,110,1,3.15,3.58,9.1,100,5500.0,25,31,10345.0,9.4,7.580645161290323,1,0,1,1,0
42,42,42,0,122,6,4,3,2,0,94.3,0.8202787121576165,0.8583333333333333,0.8946488294314382,2337,2,4,111,1,3.31,3.23,8.5,78,4800.0,24,29,6785.0,9.791666666666666,8.103448275862071,1,0,1,1,0
43,43,43,2,122,6,2,2,2,0,96.0,0.8294089380105718,0.9055555555555556,0.8595317725752508,2734,2,4,119,7,3.43,3.23,9.2,90,5000.0,24,29,11048.0,9.791666666666666,8.103448275862071,1,0,1,1,0
44,44,44,0,145,7,4,3,2,0,113.0,0.9591542527630946,0.9666666666666666,0.8829431438127091,4066,0,6,258,5,3.63,4.17,8.1,176,4750.0,15,19,32250.0,15.666666666666664,12.36842105263158,2,0,1,1,0
45,45,45,0,122,7,4,3,2,0,113.0,0.9591542527630946,0.9666666666666666,0.8829431438127091,4066,0,6,258,5,3.63,4.17,8.1,176,4750.0,15,19,35550.0,15.666666666666664,12.36842105263158,2,0,1,1,0
46,46,46,0,122,7,2,3,2,0,102.0,0.921191734742912,0.9805555555555556,0.7993311036789298,3950,4,12,326,5,3.54,2.76,11.5,262,5000.0,13,17,36000.0,18.076923076923077,13.823529411764708,0,0,1,1,0
47,47,47,1,104,8,2,2,1,0,93.1,0.7645362806343105,0.8916666666666667,0.9046822742474916,1890,2,4,91,1,3.03,3.15,9.0,68,5000.0,30,31,5195.0,7.833333333333332,7.580645161290323,1,0,1,1,0
48,48,48,1,104,8,2,2,1,0,93.1,0.7645362806343105,0.8916666666666667,0.9046822742474916,1900,2,4,91,1,3.03,3.15,9.0,68,5000.0,31,38,6095.0,7.580645161290323,6.184210526315789,1,0,1,1,0
49,49,49,1,104,8,2,2,1,0,93.1,0.7645362806343105,0.8916666666666667,0.9046822742474916,1905,2,4,91,1,3.03,3.15,9.0,68,5000.0,31,38,6795.0,7.580645161290323,6.184210526315789,1,0,1,1,0
50,50,50,1,113,8,4,3,1,0,93.1,0.8015377222489188,0.8916666666666667,0.9046822742474916,1945,2,4,91,1,3.03,3.15,9.0,68,5000.0,31,38,6695.0,7.580645161290323,6.184210526315789,1,0,1,1,0
51,51,51,1,113,8,4,3,1,0,93.1,0.8015377222489188,0.8916666666666667,0.9046822742474916,1950,2,4,91,1,3.08,3.15,9.0,68,5000.0,31,38,7395.0,7.580645161290323,6.184210526315789,1,0,1,1,0
52,52,52,3,150,8,2,2,2,0,95.3,0.8121095627102355,0.9125,0.8294314381270904,2380,5,2,70,2,3.3297512437810965,3.2554228855721337,9.4,101,6000.0,17,23,10945.0,13.823529411764708,10.217391304347826,1,0,1,1,0
53,53,53,3,150,8,2,2,2,0,95.3,0.8121095627102355,0.9125,0.8294314381270904,2380,5,2,70,2,3.3297512437810965,3.2554228855721337,9.4,101,6000.0,17,23,11845.0,13.823529411764708,10.217391304347826,1,0,1,1,0
54,54,54,3,150,8,2,2,2,0,95.3,0.8121095627102355,0.9125,0.8294314381270904,2385,5,2,70,2,3.3297512437810965,3.2554228855721337,9.4,101,6000.0,17,23,13645.0,13.823529411764708,10.217391304347826,1,0,1,1,0
55,55,55,3,150,8,2,2,2,0,95.3,0.8121095627102355,0.9125,0.8294314381270904,2500,5,2,80,5,3.3297512437810965,3.2554228855721337,9.4,135,6000.0,16,23,15645.0,14.6875,10.217391304347826,2,0,1,1,0
56,56,56,1,129,8,2,2,1,0,98.8,0.8543969245555022,0.9236111111111112,0.8979933110367894,2385,2,4,122,1,3.39,3.39,8.6,84,4800.0,26,32,8845.0,9.038461538461537,7.34375,1,0,1,1,0
57,57,57,0,115,8,4,3,1,0,98.8,0.8543969245555022,0.9236111111111112,0.92809364548495,2410,2,4,122,1,3.39,3.39,8.6,84,4800.0,26,32,8495.0,9.038461538461537,7.34375,1,0,1,1,0
58,58,58,1,129,8,2,2,1,0,98.8,0.8543969245555022,0.9236111111111112,0.8979933110367894,2385,2,4,122,1,3.39,3.39,8.6,84,4800.0,26,32,10595.0,9.038461538461537,7.34375,1,0,1,1,0
59,59,59,0,115,8,4,3,1,0,98.8,0.8543969245555022,0.9236111111111112,0.92809364548495,2410,2,4,122,1,3.39,3.39,8.6,84,4800.0,26,32,10245.0,9.038461538461537,7.34375,1,0,1,1,0
60,60,60,0,122,8,4,3,1,0,98.8,0.8543969245555022,0.9236111111111112,0.92809364548495,2443,2,4,122,3,3.39,3.39,22.7,64,4650.0,36,42,10795.0,6.527777777777778,5.595238095238094,1,1,0,1,0
61,61,61,0,115,8,4,2,1,0,98.8,0.8543969245555022,0.9236111111111112,0.92809364548495,2425,2,4,122,1,3.39,3.39,8.6,84,4800.0,26,32,11245.0,9.038461538461537,7.34375,1,0,1,1,0
62,62,62,0,118,8,4,3,2,0,104.9,0.8409418548774628,0.9180555555555556,0.9096989966555185,2670,2,4,140,5,3.76,3.16,8.0,120,5000.0,19,27,18280.0,12.36842105263158,8.703703703703704,2,0,1,1,0
63,63,63,0,122,8,4,3,2,0,104.9,0.8409418548774628,0.9180555555555556,0.9096989966555185,2700,2,4,134,3,3.43,3.64,22.0,72,4200.0,31,39,18344.0,7.580645161290323,6.0256410256410255,1,1,0,1,0
64,64,64,-1,93,9,4,3,2,0,110.0,0.9173474291206152,0.9763888888888888,0.9448160535117056,3515,2,5,183,3,3.58,3.64,21.5,123,4350.0,22,25,25552.0,10.681818181818182,9.4,2,1,0,0,1
65,65,65,-1,93,9,4,4,2,0,110.0,0.9173474291206152,0.9763888888888888,0.9816053511705688,3750,2,5,183,3,3.58,3.64,21.5,123,4350.0,22,25,28248.0,10.681818181818182,9.4,2,1,0,0,1
66,66,66,0,93,9,2,1,2,0,106.7,0.9010091302258528,0.9763888888888888,0.9180602006688964,3495,2,5,183,3,3.58,3.64,21.5,123,4350.0,22,25,28176.0,10.681818181818182,9.4,2,1,0,0,1
67,67,67,-1,93,9,4,3,2,0,115.6,0.9735703988467084,0.9958333333333332,0.9414715719063546,3770,2,5,183,3,3.58,3.64,21.5,123,4350.0,22,25,31600.0,10.681818181818182,9.4,2,1,0,0,1
68,68,68,-1,122,9,4,3,2,0,115.6,0.9735703988467084,0.9958333333333332,0.9448160535117056,3740,4,8,234,5,3.46,3.1,8.3,155,4750.0,16,18,34184.0,14.6875,13.055555555555555,2,0,1,1,0
69,69,69,3,142,9,2,0,2,0,96.6,0.8664103796251803,0.9791666666666666,0.8494983277591973,3685,4,8,234,5,3.46,3.1,8.3,155,4750.0,16,18,35056.0,14.6875,13.055555555555555,2,0,1,1,0
70,70,70,0,122,9,4,3,2,0,120.9,1.0,0.9958333333333332,0.948160535117057,3900,4,8,308,5,3.8,3.35,8.0,184,4500.0,14,16,40960.0,16.785714285714285,14.6875,2,0,1,1,0
71,71,71,1,122,9,2,1,2,0,112.0,0.957232099951946,1.0,0.9264214046822744,3715,4,8,304,5,3.8,3.35,8.0,184,4500.0,14,16,45400.0,16.785714285714285,14.6875,2,0,1,1,0
72,72,72,1,122,10,2,2,2,0,102.7,0.8572801537722249,0.9444444444444444,0.9163879598662208,2910,2,4,140,5,3.78,3.12,8.0,175,5000.0,19,24,16503.0,12.36842105263158,9.791666666666666,2,0,1,0,1
73,73,73,2,161,11,2,2,1,0,93.7,0.7558865929841423,0.8944444444444445,0.8494983277591973,1918,2,4,92,1,2.97,3.23,9.4,68,5500.0,37,41,5389.0,6.351351351351353,5.7317073170731705,1,0,1,1,0
74,74,74,2,161,11,2,2,1,0,93.7,0.7558865929841423,0.8944444444444445,0.8494983277591973,1944,2,4,92,1,2.97,3.23,9.4,68,5500.0,31,38,6189.0,7.580645161290323,6.184210526315789,1,0,1,1,0
75,75,75,2,161,11,2,2,1,0,93.7,0.7558865929841423,0.8944444444444445,0.8494983277591973,2004,2,4,92,1,2.97,3.23,9.4,68,5500.0,31,38,6669.0,7.580645161290323,6.184210526315789,1,0,1,1,0
76,76,76,1,161,11,2,2,1,0,93.0,0.7558865929841423,0.8861111111111111,0.8494983277591973,2145,2,4,98,6,3.03,3.39,7.6,102,5500.0,24,30,7689.0,9.791666666666666,7.833333333333332,1,0,1,0,1
77,77,77,3,153,11,2,2,1,0,96.3,0.8313310908217203,0.9083333333333334,0.8260869565217391,2370,2,4,110,6,3.17,3.46,7.5,116,5500.0,23,30,9959.0,10.217391304347826,7.833333333333332,1,0,1,0,1
78,78,78,3,153,11,2,2,1,0,96.3,0.8313310908217203,0.9083333333333334,0.8260869565217391,2328,2,4,122,1,3.35,3.46,8.5,88,5000.0,25,32,8499.0,9.4,7.34375,1,0,1,1,0
79,79,79,3,122,11,2,2,1,0,95.9,0.8322921672272945,0.9208333333333332,0.8394648829431439,2833,2,4,156,6,3.58,3.86,7.0,145,5000.0,19,24,12629.0,12.36842105263158,9.791666666666666,2,0,1,0,1
80,80,80,3,122,11,2,2,1,0,95.9,0.8322921672272945,0.9208333333333332,0.8394648829431439,2921,2,4,156,6,3.59,3.86,7.0,145,5000.0,19,24,14869.0,12.36842105263158,9.791666666666666,2,0,1,0,1
81,81,81,3,122,11,2,2,1,0,95.9,0.8322921672272945,0.9208333333333332,0.8394648829431439,2926,2,4,156,6,3.59,3.86,7.0,145,5000.0,19,24,14489.0,12.36842105263158,9.791666666666666,2,0,1,0,1
82,82,82,1,125,11,4,3,1,0,96.3,0.8284478616049976,0.9083333333333334,0.8628762541806021,2365,2,4,122,1,3.35,3.46,8.5,88,5000.0,25,32,6989.0,9.4,7.34375,1,0,1,1,0
83,83,83,1,125,11,4,3,1,0,96.3,0.8284478616049976,0.9083333333333334,0.8628762541806021,2405,2,4,122,1,3.35,3.46,8.5,88,5000.0,25,32,8189.0,9.4,7.34375,1,0,1,1,0
84,84,84,1,125,11,4,3,1,0,96.3,0.8284478616049976,0.9083333333333334,0.8628762541806021,2403,2,4,110,6,3.17,3.46,7.5,116,5500.0,23,30,9279.0,10.217391304347826,7.833333333333332,1,0,1,0,1
85,85,85,-1,137,11,4,3,1,0,96.3,0.8284478616049976,0.9083333333333334,0.8628762541806021,2403,2,4,110,6,3.17,3.46,7.5,116,5500.0,23,30,9279.0,10.217391304347826,7.833333333333332,1,0,1,1,0
86,86,86,1,128,12,2,3,1,0,94.5,0.794329649207112,0.8861111111111111,0.911371237458194,1889,2,4,97,1,3.15,3.29,9.4,69,5200.0,31,37,5499.0,7.580645161290323,6.351351351351353,1,0,1,1,0
87,87,87,1,128,12,2,3,1,0,94.5,0.794329649207112,0.8861111111111111,0.911371237458194,2017,2,4,103,3,2.99,3.47,21.9,55,4800.0,45,50,7099.0,5.222222222222221,4.7,1,1,0,1,0
88,88,88,1,128,12,2,3,1,0,94.5,0.794329649207112,0.8861111111111111,0.911371237458194,1918,2,4,97,1,3.15,3.29,9.4,69,5200.0,31,37,6649.0,7.580645161290323,6.351351351351353,1,0,1,1,0
89,89,89,1,122,12,4,3,1,0,94.5,0.794329649207112,0.8861111111111111,0.911371237458194,1938,2,4,97,1,3.15,3.29,9.4,69,5200.0,31,37,6849.0,7.580645161290323,6.351351351351353,1,0,1,1,0
90,90,90,1,103,12,4,4,1,0,94.5,0.8178760211436809,0.8861111111111111,0.8946488294314382,2024,2,4,97,1,3.15,3.29,9.4,69,5200.0,31,37,7349.0,7.580645161290323,6.351351351351353,1,0,1,1,0
91,91,91,1,128,12,2,3,1,0,94.5,0.794329649207112,0.8861111111111111,0.911371237458194,1951,2,4,97,1,3.15,3.29,9.4,69,5200.0,31,37,7299.0,7.580645161290323,6.351351351351353,1,0,1,1,0
92,92,92,1,128,12,2,2,1,0,94.5,0.7957712638154734,0.8861111111111111,0.8913043478260869,2028,2,4,97,1,3.15,3.29,9.4,69,5200.0,31,37,7799.0,7.580645161290323,6.351351351351353,1,0,1,1,0
93,93,93,1,122,12,4,3,1,0,94.5,0.794329649207112,0.8861111111111111,0.911371237458194,1971,2,4,97,1,3.15,3.29,9.4,69,5200.0,31,37,7499.0,7.580645161290323,6.351351351351353,1,0,1,1,0
94,94,94,1,103,12,4,4,1,0,94.5,0.8178760211436809,0.8861111111111111,0.8946488294314382,2037,2,4,97,1,3.15,3.29,9.4,69,5200.0,31,37,7999.0,7.580645161290323,6.351351351351353,1,0,1,1,0
95,95,95,2,168,12,2,1,1,0,95.1,0.7803940413262855,0.8861111111111111,0.8913043478260869,2008,2,4,97,1,3.15,3.29,9.4,69,5200.0,31,37,8249.0,7.580645161290323,6.351351351351353,1,0,1,1,0
96,96,96,0,106,12,4,2,1,0,97.2,0.8332532436328689,0.9055555555555556,0.9147157190635452,2324,2,4,120,1,3.33,3.47,8.5,97,5200.0,27,34,8949.0,8.703703703703704,6.911764705882352,1,0,1,1,0
97,97,97,0,106,12,4,3,1,0,97.2,0.8332532436328689,0.9055555555555556,0.9147157190635452,2302,2,4,120,1,3.33,3.47,8.5,97,5200.0,27,34,9549.0,8.703703703703704,6.911764705882352,1,0,1,1,0
98,98,98,0,128,12,4,3,1,0,100.4,0.8731379144641999,0.9236111111111112,0.9214046822742477,3095,4,6,181,5,3.43,3.27,9.0,152,5200.0,17,22,13499.0,13.823529411764708,10.681818181818182,2,0,1,1,0
99,99,99,0,108,12,4,4,1,0,100.4,0.8870735223450265,0.9236111111111112,0.9381270903010034,3296,4,6,181,5,3.43,3.27,9.0,152,5200.0,17,22,14399.0,13.823529411764708,10.681818181818182,2,0,1,1,0
